city,family,species,coll.-no.,Age,hfl,hct,hcl,hpt,hpl,hdt,hdl,rfl,rpt,rpl,rdt,rdl,mc7fl,mc7pt,mc7pl,mc7dt,mc7dl,ffl,fct,fcl,fpt,fpl,fdt,fdl,tfl,tpt,tpl,tdt,tdl,mt7fl,mt7pt,mt7pl,mt7dt,mt7dl
Tü,Bovidae,Addax nasomaculatus,SZ 7457,,191.55,41.69,42.80,58.29,64.80,48.21,43.29,252.05,48.34,24.68,44.15,31.54,186.73,35.33,23.43,39.44,22.97,253.07,35.14,31.38,77.35,39.08,60.82,81.22,273.28,64.19,45.66,38.88,34.21,211.20,30.54,32.18,38.82,23.89
Tü,Bovidae,Addax nasomaculatus,Mamm 347,juvenile,162.84,32.67,33.05,48.72,58.08,47.33,39.55,203.20,43.84,23.61,40.25,27.41,162.82,34.78,23.09,35.94,21.76,212.18,36.76,28.24,61.28,34.19,53.45,71.44,228.46,57.98,36.77,34.12,28.80,181.64,30.25,29.14,34.49,21.43
Tü,Bovidae,Aepyceros melampus,SZ 4313,,155.89,37.04,35.24,47.66,47.30,38.40,31.59,213.26,37.06,18.44,33.34,24.56,231.22,29.22,21.16,26.28,20.63,217.04,33.89,24.02,54.54,28.86,46.95,62.36,268.30,50.31,36.22,33.11,26.04,233.47,25.05,27.94,26.90,21.39
Tü,Bovidae,Aepyceros melampus,SZ 3229,,153.92,36.11,33.83,47.96,49.74,35.00,32.90,212.98,34.94,17.87,29.59,23.88,229.37,27.94,20.63,25.84,20.63,218.39,33.29,23.35,53.63,26.84,45.75,61.66,258.53,48.86,32.85,32.55,25.14,235.78,26.92,29.74,26.40,21.49
Tü,Bovidae,Aepyceros melampus,SZ 7257,juvenile,99.66,17.27,15.22,25.13,30.75,25.93,22.24,124.35,22.06,14.68,23.89,17.49,170.01,23.24,16.35,22.17,16.14,132.79,14.70,12.40,27.98,16.52,34.35,40.10,161.09,34.64,22.76,26.64,20.73,167.16,20.78,20.79,22.24,16.23
S,Bovidae,Aepyceros melampus,4469,,168.18,39.80,41.43,56.48,56.53,36.14,36.97,226.36,35.25,20.06,32.38,22.79,231.49,30.19,21.98,28.74,22.12,234.18,24.64,25.57,65.88,29.82,52.35,68.08,276.14,54.76,37.08,33.93,26.87,242.31,27.74,29.98,28.75,22.74
S,Bovidae,Aepyceros melampus,4472,,162.02,38.26,41.54,58.36,54.08,35.67,35.07,223.47,34.77,20.65,31.50,22.67,232.87,29.20,21.90,28.66,21.34,231.88,25.56,25.36,63.03,31.37,51.65,64.81,278.83,53.94,35.97,31.54,26.01,243.52,26.79,30.87,28.82,21.81
S,Bovidae,Alcelaphus buselaphus caama,706,,180.44,39.73,39.57,47.85,60.90,42.29,40.76,243.86,40.60,21.33,38.42,25.56,216.38,31.95,21.68,34.35,23.83,240.70,26.24,27.42,67.88,31.80,51.12,72.53,277.92,56.58,37.89,34.29,30.07,225.71,28.27,32.41,32.43,22.96
S,Bovidae,Alcelaphus buselaphus cokii,4449,,208.51,54.15,51.07,67.92,80.31,52.74,48.78,297.65,48.74,27.57,46.70,30.11,261.01,40.37,28.04,42.23,27.95,275.71,31.02,32.29,36.67,83.96,67.31,87.76,312.20,72.90,42.06,42.76,33.84,250.68,34.36,36.91,39.52,27.08
Tü,Bovidae,Ammotragus lervia,SZ 3829,,201.53,42.11,43.30,60.97,66.25,48.67,37.67,233.00,44.85,26.36,43.10,31.57,157.93,34.00,23.18,39.30,22.19,251.95,35.80,29.69,68.29,31.71,54.96,65.58,276.58,59.87,41.74,35.27,30.60,159.99,30.86,27.99,35.66,21.80
Tü,Bovidae,Ammotragus lervia,Mamm 334,,210.63,50.10,43.10,63.40,70.09,49.87,37.97,232.42,46.55,25.73,38.37,32.36,161.84,34.36,24.64,43.04,21.70,270.68,35.24,30.56,71.41,37.11,59.26,66.80,290.98,65.04,51.71,35.20,30.98,170.62,31.56,26.41,36.30,20.54
Tü,Bovidae,Ammotragus lervia,SZ 3855,juvenile,95.72,23.40,17.11,23.54,30.14,25.12,19.72,93.88,22.41,11.69,23.55,16.03,77.21,21.69,13.55,22.24,14.08,115.76,16.09,15.22,29.09,15.73,29.75,31.57,131.93,30.53,19.14,22.54,16.59,78.73,19.43,16.61,20.92,13.41
Tü,Bovidae,Antidorcas marsupialis,Mamm 338,juvenile,176.01,39.89,39.55,50.93,63.67,51.68,44.11,213.78,48.41,24.89,42.03,30.51,186.27,37.10,22.35,35.66,22.55,238.96,39.15,29.22,56.33,35.69,59.58,82.52,249.90,61.46,41.20,41.63,32.25,197.25,32.69,32.81,33.97,23.18
S,Bovidae,Antilope cervicapra,7604,,127.27,28.70,27.81,35.62,38.85,29.04,25.43,162.95,29.00,15.34,26.14,17.30,177.84,22.33,16.20,21.28,16.14,172.31,18.35,19.61,47.31,19.69,38.26,50.75,213.70,41.29,28.35,24.76,19.87,175.57,20.60,21.67,21.85,16.97
Tü,Bovidae,Bison bison,Mamm 345,,323.80,76.83,68.20,121.27,129.02,93.82,89.56,311.25,96.96,52.59,84.31,54.65,194.51,71.94,41.44,71.96,36.91,391.00,56.40,53.78,138.12,81.72,107.91,139.13,361.23,116.93,64.26,73.60,53.23,226.86,58.47,58.59,65.06,37.92
S,Bovidae,Bison bison americanus,1279,,310.00,75.55,81.59,114.70,122.02,83.90,88.43,303.20,85.25,46.28,77.33,46.26,196.82,71.65,37.64,72.35,38.76,384.10,52.48,52.02,142.95,77.20,108.28,136.33,367.55,115.46,71.52,69.50,49.42,239.33,54.80,53.66,68.98,37.99
S,Bovidae,Bison bison bonasus,2998,,350.80,85.68,87.35,122.71,137.28,93.93,100.06,353.85,92.22,48.01,83.30,46.80,210.99,73.13,41.97,76.14,39.61,441.90,58.55,61.11,139.26,84.67,116.87,147.42,441.20,123.36,83.21,72.05,52.64,255.59,57.85,53.08,69.47,41.21
Tü,Bovidae,Bison bonasus,Mamm 341,,312.85,89.37,64.11,120.16,130.49,99.47,79.58,305.15,96.76,48.61,86.35,63.01,225.38,72.40,44.59,71.26,39.44,399.70,56.68,57.62,143.63,86.56,111.88,152.41,377.65,116.27,86.34,71.72,71.25,255.86,62.14,65.55,65.30,38.59
S,Bovidae,Bos javanicus,18848,,337.85,102.85,73.23,127.48,138.79,92.59,87.97,341.65,89.35,48.75,79.65,44.99,239.87,71.66,41.66,65.62,38.85,445.95,61.36,63.62,147.13,76.50,120.29,138.44,418.45,122.61,82.09,70.10,59.30,265.70,54.38,51.79,63.90,39.08
Tü,Bovidae,Bubalus depressicornis,SZ 6471,,172.74,34.56,34.51,52.72,57.92,43.40,43.79,183.80,43.82,21.78,39.56,28.13,114.41,32.64,19.13,33.93,18.19,220.27,34.31,27.52,62.03,28.85,49.52,61.64,213.00,53.34,37.86,33.41,27.89,126.65,28.89,24.18,31.17,17.87
Tü,Bovidae,Bubalus depressicornis,SZ 7250,juvenile,129.02,27.30,25.98,36.44,46.21,39.11,38.24,129.24,35.26,20.12,34.38,22.95,98.90,27.64,16.59,28.77,16.96,160.79,25.52,22.95,49.09,23.38,44.44,53.37,162.27,48.11,30.43,30.80,24.35,104.43,26.82,21.56,27.10,16.36
S,Bovidae,Bubalus mindorensis,2054,,221.98,55.45,43.02,79.53,81.94,58.02,60.69,227.13,57.52,35.01,57.92,28.65,132.39,46.73,27.95,51.85,25.90,285.86,42.73,41.37,91.83,43.75,77.99,95.56,263.55,78.91,49.48,46.37,38.66,151.21,43.25,33.75,47.34,25.18
M,Bovidae,Budorcas taxicolor,1,,337.38,,,,,76.42,68.23,307.96,70.66,38.11,,,133.32,59.02,34.62,65.82,34.68,378.55,,,,,,,374.34,93.88,,,,153.02,43.67,39.13,54.91,34.82
Tü,Bovidae,Capra aegagrus,SZ 4184,juvenile,74.45,15.55,18.75,18.44,23.23,18.52,13.98,68.60,16.10,7.37,19.01,13.06,60.06,16.39,10.21,18.37,10.79,90.81,12.76,12.23,21.67,15.87,23.48,25.52,103.39,24.37,14.56,16.71,13.33,65.94,12.06,13.56,16.81,10.63
Tü,Bovidae,Capra falconeri,SZ 7271,,151.19,31.94,30.05,40.64,44.23,32.57,27.18,153.22,32.84,16.63,31.70,22.36,112.32,24.26,18.33,27.68,16.09,182.22,23.33,20.86,45.49,25.29,38.04,48.36,207.81,45.44,26.06,28.46,22.25,110.92,22.71,19.52,25.51,15.73
Tü,Bovidae,Capra ibex,SZ 4005,,163.42,37.74,34.26,46.33,49.84,35.01,28.09,168.15,35.59,17.47,32.22,22.98,119.12,28.83,19.89,31.99,19.65,201.33,25.52,23.45,49.27,24.80,43.04,50.01,233.42,47.76,29.68,30.31,22.85,127.45,23.55,21.54,28.94,19.44
S,Bovidae,Capra ibex,7914,,184.13,38.76,37.44,56.69,60.19,38.39,31.86,188.72,38.25,20.40,35.44,25.45,124.94,31.42,21.91,35.39,20.19,232.86,26.53,26.77,58.94,30.40,48.68,56.21,268.69,53.90,30.07,28.52,24.40,128.85,25.14,25.05,30.74,19.24
Tü,Bovidae,Cephalophus dorsalis,SZ 10054,,100.52,20.33,19.73,23.44,27.89,19.35,15.95,90.32,17.36,9.19,16.60,12.18,71.37,14.25,9.77,13.85,9.28,131.87,17.57,15.07,29.31,15.37,26.90,32.83,139.43,29.46,19.85,16.85,13.53,86.40,14.40,13.99,14.45,10.13
S,Bovidae,Cephalophus monticola sundarelli,16941,,86.47,17.41,14.03,20.15,21.00,16.39,13.29,83.74,16.09,8.60,14.32,9.86,72.65,12.50,8.36,11.50,8.03,117.60,13.14,13.30,23.76,13.30,23.08,27.91,117.76,24.61,15.18,14.90,12.03,88.92,12.45,10.14,12.00,9.27
S,Bovidae,Cephalophus zebra,2025,,96.97,20.74,18.51,24.30,25.90,20.54,18.24,94.71,17.20,10.94,18.40,11.87,86.86,14.88,9.73,14.27,9.97,135.09,14.27,15.30,27.94,15.49,27.85,37.95,133.39,30.80,18.94,17.96,14.21,104.81,14.94,14.25,14.69,10.38
Tü,Bovidae,Connochaetes gnou,Mamm 340,,195.16,52.22,50.36,61.76,69.23,53.16,49.74,266.33,57.37,27.75,49.91,33.58,198.77,40.21,27.35,42.91,25.04,252.19,48.27,32.90,83.69,41.80,68.96,91.38,294.54,71.88,48.34,45.74,34.41,218.94,36.12,36.94,39.37,23.54
Tü,Bovidae,Damaliscus dorcas,SZ 3834,,164.09,39.59,41.64,54.80,53.35,42.04,36.45,223.18,42.45,22.40,35.45,26.15,207.31,30.25,19.78,30.54,20.37,213.87,34.72,25.21,60.57,28.24,49.04,67.50,250.26,52.95,37.59,32.97,26.69,217.30,26.74,28.72,29.44,19.94
S,Bovidae,Gazella granti granti,4434,,168.82,46.22,41.55,54.80,57.58,37.81,36.43,221.44,36.19,22.60,33.72,27.09,245.24,30.35,20.87,29.60,23.90,238.72,25.99,27.49,67.16,28.71,57.17,71.11,278.55,65.50,43.97,33.29,25.55,250.17,28.36,32.45,30.95,23.97
M,Bovidae,Gazella subgutturosa,18,,117.02,,,,,24.03,19.96,150.75,23.11,13.77,,,164.05,19.66,14.35,18.65,13.66,164.11,,,,,,,200.70,37.70,,,,176.10,17.21,19.02,19.54,14.10
S,Bovidae,Gazella thomsonii thomsonii,4454,,103.77,24.83,23.01,29.40,31.04,21.52,19.86,142.64,20.40,12.19,19.39,14.54,158.13,17.91,13.05,17.40,12.72,151.60,16.09,15.61,39.64,17.76,30.64,40.54,194.55,32.68,23.82,18.82,16.28,161.17,17.04,18.78,19.33,13.61
