Acronym,specimenNumber,genusName,specificEpithet,subspcies,tribe,habitat,GLC,LBC,LFF,HSF,HST,LCNF,MBH,TWB,taxon,Family,subFamily,MeasSouce
Barr,17276,Alcelaphus,lichtensteinii,,Alcelaphini,Open,107.05,68.29,24.85,23.48,31.09,29.32,30.43,15.52,Alcelaphus_lichtensteinii,Bovidae,,Caliper
Barr,27792,Nanger,granti,,Antilopini,Open,81.91,53.32,15.63,15.69,22.13,18.61,21.47,10.27,Nanger_granti,Bovidae,,Caliper
Barr,27803,Redunca,fulvorufula,,Reduncini,LightCover,69.44,45.13,16.37,13.62,19.8,15.92,17.42,8.39,Redunca_fulvorufula,Bovidae,,Caliper
Barr,27824,Connochaetes,taurinus,,Alcelaphini,Open,113.44,70.13,26.89,23.62,34.42,32.08,31.15,17.01,Connochaetes_taurinus,Bovidae,,Caliper
Barr,34724,Taurotragus,oryx,,Tragelaphini,LightCover,198.674,95,34.62,35.86,50.04,41.79,45.17,21.18,Taurotragus_oryx,Bovidae,,Caliper
Barr,34725,Alcelaphus,buselaphus,,Alcelaphini,Open,107.09,66.3,26.59,23.73,30.7,30.81,29.82,15.14,Alcelaphus_buselaphus,Bovidae,,Caliper
Barr,34728,Raphicerus,campestris,,Neotragini,LightCover,44.04,26.86,9.82,9.39,13.05,10.98,11.33,6.2,Raphicerus_campestris,Bovidae,,Caliper
Barr,34751,Tragelaphus,scriptus,,Tragelaphini,Forest,80.56,49.15,15.39,15.83,25.41,21.47,21.74,11.43,Tragelaphus_scriptus,Bovidae,,Caliper
Barr,34753,Tragelaphus,scriptus,,Tragelaphini,Forest,76.64,46.1,14.95,17.32,22.18,20.39,19.12,8.81,Tragelaphus_scriptus,Bovidae,,Caliper
Barr,34756,Redunca,redunca,,Reduncini,LightCover,81.67,52.61,17.01,16.8,21.95,21.94,21.85,10.56,Redunca_redunca,Bovidae,,Caliper
Barr,34762,Ourebia,ourebi,,Neotragini,LightCover,54.71,33.15,10.99,12.14,12.07,15.09,14.41,7.92,Ourebia_ourebi,Bovidae,,Caliper
Barr,34764,Ourebia,ourebi,,Neotragini,LightCover,59.22,36.3,12,11.99,16.33,15.42,15.15,7.58,Ourebia_ourebi,Bovidae,,Caliper
Barr,36352,Madoqua,kirkii,,Neotragini,HeavyCover,33.57,20.49,7.4,6.53,9.19,9.38,8.56,4.04,Madoqua_kirkii,Bovidae,,Caliper
Barr,36396,Kobus,kob,,Reduncini,LightCover,94.97,61.58,18.66,19.55,29.22,24.22,23.22,13.23,Kobus_kob,Bovidae,,Caliper
Barr,36397,Kobus,kob,,Reduncini,LightCover,86.93,55.77,18.15,17.64,26.81,21.73,21.89,10.9,Kobus_kob,Bovidae,,Caliper
Barr,36404,Tragelaphus,scriptus,,Tragelaphini,Forest,87.95,56.23,16.66,17.58,24.09,19.67,24.44,11.5,Tragelaphus_scriptus,Bovidae,,Caliper
Barr,36405,Tragelaphus,scriptus,,Tragelaphini,Forest,79.69,51.28,18.63,16.55,22.61,18.18,23.53,10.21,Tragelaphus_scriptus,Bovidae,,Caliper
Barr,42953,Damaliscus,pygargus,,Alcelaphini,Open,85.5,53.87,16.84,15.71,22.48,20.77,21.32,10.08,Damaliscus_pygargus,Bovidae,,Caliper
Barr,52888,Cephalophus,dorsalis,,Cephalophini,Forest,52.93,33.49,10.97,11.84,14.9,12.05,13.88,6.87,Cephalophus_dorsalis,Bovidae,,Caliper
Barr,52898,Cephalophus,dorsalis,,Cephalophini,Forest,54.26,33.29,11.88,11.91,15.13,12.06,15.3,7.41,Cephalophus_dorsalis,Bovidae,,Caliper
Barr,52924,Cephalophus,dorsalis,,Cephalophini,Forest,48.48,29.32,10.68,11.16,15.28,12.47,13.86,6.47,Cephalophus_dorsalis,Bovidae,,Caliper
Barr,52928,Cephalophus,dorsalis,,Cephalophini,Forest,51.7,32.74,10.27,11.34,14.87,11.75,13.5,7.17,Cephalophus_dorsalis,Bovidae,,Caliper
Barr,52930,Cephalophus,nigrifrons,,Cephalophini,Forest,47.65,28.94,10.13,10.48,13.36,11.23,13.02,6.36,Cephalophus_nigrifrons,Bovidae,,Caliper
Barr,52940,Cephalophus,nigrifrons,,Cephalophini,Forest,52.4,32.02,9.76,10.54,13.9,10.73,13.25,6.32,Cephalophus_nigrifrons,Bovidae,,Caliper
Barr,52943,Cephalophus,nigrifrons,,Cephalophini,Forest,50.37,30.69,9.58,11.49,13.57,10.23,12.91,6.44,Cephalophus_nigrifrons,Bovidae,,Caliper
Barr,53127,Cephalophus,silvicultor,,Cephalophini,Forest,81.25,49.35,16.99,17.65,22.99,20.04,21.44,9.79,Cephalophus_silvicultor,Bovidae,,Caliper
Barr,53129,Cephalophus,silvicultor,,Cephalophini,Forest,82.66,50.23,17.16,17.1,24.78,19.53,23.13,12.08,Cephalophus_silvicultor,Bovidae,,Caliper
Barr,53132,Cephalophus,silvicultor,,Cephalophini,Forest,80.35,46.99,16.15,16.9,22.91,18.73,21.71,11.09,Cephalophus_silvicultor,Bovidae,,Caliper
Barr,53138,Cephalophus,silvicultor,,Cephalophini,Forest,81.74,49.49,16.62,16.84,21.85,20.02,21.92,9.71,Cephalophus_silvicultor,Bovidae,,Caliper
Barr,53144,Cephalophus,silvicultor,,Cephalophini,Forest,86.12,50.42,18.01,18.82,23.26,20.8,23.43,10.81,Cephalophus_silvicultor,Bovidae,,Caliper
Barr,53153,Cephalophus,silvicultor,,Cephalophini,Forest,79.76,47.07,15.54,17.13,22.92,18.36,21.77,10.26,Cephalophus_silvicultor,Bovidae,,Caliper
Barr,53212,Tragelaphus,spekii,,Tragelaphini,HeavyCover,97.71,62.72,18.68,18.77,26.11,23.1,25.67,12.62,Tragelaphus_spekii,Bovidae,,Caliper
Barr,53215,Tragelaphus,spekii,,Tragelaphini,HeavyCover,94.84,60.16,20.39,20.37,27.23,23.79,27.36,12.78,Tragelaphus_spekii,Bovidae,,Caliper
