Genus,Species,Family,Diet,Habitat,HI,JLB,MZW
Addax,nasomacultus,Bovidae,MF,OH,4.09,1.51,0.51
Aepyceros,melampus,Bovidae,MF,OH,4.89,1.56,0.52
Alcelaphus,buselaphus,Bovidae,Gr,OH,5.23,2.16,0.82
Alces,alces,Cervidae,HBr,CH,1.34,2.51,0.59
Ammodorcas,clarkei,Bovidae,HBr,OH,2.23,2.02,0.45
Ammotragus,lervia,Bovidae,MF,OH,4.45,1.24,0.44
Antidorcas,marsupialis,Bovidae,MF,OH,4.89,1.26,0.4
Antilocapra,americana,Antilocapridae,MF,OH,4.61,2.02,0.58
Antilope,cervicapra,Bovidae,MF,OH,5.14,1.68,0.42
Axis,porcinus,Cervidae,MF,MH,2.53,1.64,0.57
Axis,axis,Cervidae,MF,OH,,,
Babyrousa,babyrussa,Suidae,Om,CH,1.03,1.59,0.71
Bison,bison,Bovidae,Gr,OH,4.87,1.81,0.99
Bison,bonasus,Bovidae,Gr,CH,6.12,1.82,0.95
Blastocerus,dichotomus,Cervidae,MF,OH,1.49,2.38,0.83
Bos,javanicus,Bovidae,Gr,OH,5.04,2.04,0.81
Bos,gaurus,Bovidae,Gr,MH,3.69,2.02,0.92
Bos,indicus,Bovidae,Gr,OH,4.43,1.69,0.68
Boselaphus,tragocamelus,Bovidae,MF,MH,3.03,1.88,0.57
Bubalus,depressicornis,Bovidae,Br,CH,4.43,1.86,0.78
Bubalus,bubalis,Bovidae,Gr,MH,3.85,2.08,1
Budorcas,taxicolor,Bovidae,MF,OH,3.42,1.72,0.59
Camelus,bactrianus,Camelidae,MF,OH,2.98,1.31,0.43
Camelus,dromedarius,Camel,Br,OH,2.52,1.43,0.37
Capra,ibex,Bovidae,MF,OH,4.71,1.42,0.45
Capra,hircus,Bovidae,Gr,OH,,,
Capreolus,capreolus,Cervidae,Br,CH,1.49,1.83,0.58
Capricornis,sumatrensis,Bovidae,MF,MH,3.39,1.97,0.59
Catagonous,wagneri,Suidae,Om,CH,1.06,1.49,0.64
Cephalophus,dorsalis,Bovidae,Br,CH,1.15,1.92,0.64
Cephalophus,monticolor,Bovidae,Br,CH,1.9,1.93,0.51
