Continent,Species Distribution,Status,Order,FAMILY,Genus,Species,LogMass,Combined Mass (g),Comments,Reference,IUCN status,Diet Category,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Addax,nasomaculatus,4.845,70000.316,hunting,60,CR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Aepyceros,melampus,4.720,52500.084,"hunting, habitat loss, hybridization","63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Alcelaphus,buselaphus,5.233,171001.532,"hunting, habitat loss, drought, pathogens/parasites","63, 70",LR,,,,,,,,,,,,,,,
NAm/EA,,extant,Artiodactyla,Cervidae,Alces,alces,5.553,356998.161,,60111,,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Ammodorcas,clarkei,4.448,28049.815,"hunting, civil war",60,VU,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Ammotragus,lervia,4.681,48000.000,"hunting, habitat loss",75,VU,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Antidorcas,marsupialis,4.498,31500.000,"drought, pathogens/parasites",236,LR,,,,,,,,,,,,,,,
NAm,,extant,Artiodactyla,Antilocapridae,Antilocapra,americana,4.664,46082.921,,60,,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Antilope,cervicapra,4.574,37500.000,Added in by KJ and ME,68,VU,,,,,,,,,,,,,,,
EA/Insular,Sri Lanka,extant,Artiodactyla,Cervidae,Axis,axis,4.820,66172.775,,"75, 132",,,,,,,,,,,,,,,,
Insular,Philippines,extant,Artiodactyla,Cervidae,Axis,calamianensis,4.607,40500.000,"habitat loss, invasive competitors",141,LR,,,,,,,,,,,,,,,
Insular,Indonesia,extant,Artiodactyla,Cervidae,Axis,kuhlii,4.740,55000.000,"habitat loss, invasive competitors",147,EN,,,,,,,,,,,,,,,
EA/Insular,SriLanka ,extant,Artiodactyla,Cervidae,Axis,porcinus,4.533,34127.750,,59117132,,,,,,,,,,,,,,,,
Insular,Sulawesi,extant,Artiodactyla,Suidae,Babyrousa,babyrussa,5.000,100000.000,"hunting, habitat loss, pathogens/parasites",68,VU,,,,,,,,,,,,,,,
NAm,,extant,Artiodactyla,Bovidae,Bison,bison,5.763,579255.278,,60,LR,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Bison,bonasus,5.699,500000.000,Added in by KJ and ME,68,EN,,,,,,,,,,,,,,,
SA,,extant,Artiodactyla,Cervidae,Blastocerus,dichotomus,4.938,86666.249,"hunting, habitat loss, diesease",60,VU,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Bos,frontalis,5.903,800000.000,"hunting, habitat loss, pathogens/parasites",68,VU,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Bos,grunniens,5.522,333000.000,"hunting, habitat loss, parasites/pathogens, low reproduction, hybridizers",68,VU,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Bos,javanicus,5.845,700000.000,"hunting, habitat loss, parasites/pathogens, low reproduction, hybridizers",75,EN,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Bos,sauveli,5.903,800000.000,"hunting, habitat loss, parasites/pathogens",136,CR,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Bos,taurus,5.954,900000.000,extinct in wild,114,,,,,,,,,,,,,,,,
