Species,Habitat
Addax nasomaculatus,Grassland
Aepyceros melampus,Grassland
Alcelaphus caama,Grassland
Ammotragus lervia,Mountainous
Antilope cervicapra,Grassland
Bison bison,Grassland
Bison bonasus,Grassland
Bos javanicus,Grassland
Bubalus depressicornis,Forest
Bubalus mindorensis,Forest
Budorcas taxicolor,Mountainous
Capra falconeri,Mountainous
Capra ibex,Mountainous
Cephalophus dorsalis,Forest
Cephalophus zebra,Forest
Connochaetes gnou,Grassland
Connochaetes taurinus,Forest
Damaliscus pygargus,Grassland
Eudorcas thomsonii,Grassland
Gazella subgutturosa,Grassland
Hemitragus jayakari,Mountainous
Kobus ellipsiprymnus,Grassland
Litocranius walleri,Grassland
Madoqua kirkii,Forest
Madoqua saltiana,Forest
Nanger granti,Grassland
Oryx beisa,Grassland
Oreotragus oreotragus,Mountainous
Ovis dalli,Mountainous
Ovis aries,Mountainous
Pelea capreolus,Grassland
Philantomba monticola,Forest
Saiga tatarica,Grassland
Tragelaphus angasii,Grassland
Tragelaphus imberbis,Grassland
Tragelaphus strepsiceros,Grassland
Equus quagga,Grassland
Equus grevyi,Grassland
Equus hemionus,Grassland
Equus caballus,Grassland
