Genus,species,subspecies,binomial,current,common,h_l,h_w,u_l,u_w,f_l,f_w,t_l,t_w,m_l,m_w
Aepycerus,melampus,NA,Aepycerus melampus,Aepyceros melampus,African impala,173,22.5,257,15.2,226,20.9,265,19.0,232,18.6
Alcelaphus,buselaphus,NA,Alcelaphus buselaphus,Alcelaphus buselaphus,Red hartebeest,257,35.0,395,23.1,308,29.9,353,34.9,272,37.2
Alcelaphus,buselaphus,NA,Alcelaphus buselaphus,Alcelaphus buselaphus,Red hartebeest,222,35.5,370,26.3,279,27.5,326,22.7,258,23.4
Ammotragus,lervia,NA,Ammotragus lervia,Ammotragus lervia,Barbary sheep,217,33.5,287,21.6,246,26.0,278,23.0,155,16.7
Anoa,guarlesi,NA,Anoa guarlesi,Bubalus quarlesi,Pygmy buffalo,194,25.9,229,27.5,228,19.2,222,17.8,119,14.9
Bibos,gaurus,NA,Bibos gaurus,Bos gaurus,Wild ox,364,60.6,455,49.3,445,49.9,428,46.2,253,30.2
Bibos,gaurus,NA,Bibos gaurus,Bos gaurus,Wild ox,340,62.2,417,55.3,412,53.4,392,44.4,231,27.4
Bibos,gaurus,NA,Bibos gaurus,Bos gaurus,Wild ox,301,49.4,379,42.8,374,43.7,352,35.9,233,29.9
Bison,bison,NA,Bison bison,Bison bison,American bison,NA,NA,437,61.3,407,46.9,386,44.4,199,29.5
Bison,bison,NA,Bison bison,Bison bison,American bison,312,44.4,395,37.2,370,39.5,366,34.4,198,25.4
Bison,bonasus,NA,Bison bonasus,Bison bonasus,European bison,424,77.2,535,70.9,504,62.7,498,49.7,280,37.6
Bison,bonasus,NA,Bison bonasus,Bison bonasus,European bison,408,60.0,515,54.5,479,51.4,480,43.1,221,28.7
Boocercus,euryceros,NA,Boocercus euryceros,Tragelaphus euryceros,Bongo,254,39.0,307,35.8,331,39.4,333,35.7,212,25.5
Boocercus,euryceros,NA,Boocercus euryceros,Tragelaphus euryceros,Bongo,227,29.6,276,33.2,290,30.3,310,26.5,204,23.0
Bos,taurus,NA,Bos taurus,Bos taurus,Domestic cow,304,57.9,380,44.9,386,43.7,362,37.0,NA,NA
Bos,taurus,Ald,Bos taurus,Bos taurus,Domestic cow,296,60.0,378,42.1,395,44.5,358,36.3,205,24.3
