Institution Code,Catalog Number,Catalog Name,Side (R/L),hfl,hct,hcl,hpt,hpl,hdt,hdl,rfl,rpt,rpl,rdt,rdl,mc7fl,mc7pt,mc7pl,mc7dt,mc7dl,ffl,fct,fcl,fpt,fpl,fdt,fdl,tfl,tpt,tpl,tdt,tdl,mt7fl,mt7pt,mt7pl,mt7dt,mt7dl,Calipers,Time Start,Time Finish,Phpto time,Measure time from Photo
UCLA,18365,Tayassu tajacu torquatus,Right,126.6,21.08,17.48,34.51,39.6,26.71,21.93,94.87,18.51,11.79,20.38,15.19,52.15,19.14,11.43,19.96,9.9,151.53,18.59,17.47,34.5,19.26,31.22,35.79,138.32,33.36,22.02,20.83,18.02,60.99,18.45,13.86,20.17,10.19,American instruments30cm/150mm digital caliper,,,,
UCLA,13765,Sus domesticus,Right,211,45,40.19,78,83,53,57,186,47,30,37,24,92,42,22,45,21.81,263,40.46,36.67,77.53,53.5,63.5,76,248,71,47.11,46.38,42.05,102,39.74,31.46,46.16,22.2,American instruments30cm/150mm digital caliper,Initial,Intiial,,
UCLA,13765,Sus domesticus,Right,210,44.73,40.92,81,84,53,48.78,186,46.88,32.32,37.72,22.44,97.07,42.74,24.77,45.32,21.84,263,41.53,35.71,77.23,55,63.31,74.92,246,70.92,47.24,48.18,42.13,40.06,39.79,31.17,46.17,22.06,American instruments30cm/150mm digital caliper,4:45pm,5:19,,
UCLA,18995,Cervus elaphus nannodes,Right,264,65.13,51.33,85,90,63.66,60.67,291,66.36,33.81,56.16,41.71,264,49.13,33.44,50.25,23.34,337.36,44.55,43.2,103.95,47.7,87.77,106.81,371.49,92.95,66.87,56.79,44.48,302.82,44.51,45.17,52.35,35.1,American instruments30cm/150mm digital caliper,,,,
UCLA,14929,Odocoileus hemionus,Right,181,38.41,33.92,45.74,54.67,39.54,35.24,217,38.05,21.44,33.25,26.11,185,32.28,21.35,30.12,19.19,233,31.29,24.36,58.94,26,49.39,64.08,275,55.2,34.64,32.94,25.36,243,24.41,28.23,33.14,21.48,American instruments30cm/150mm digital caliper,,,,
UCLA,13303,Odocoileus hemionus,Right,186,38.69,31.18,48.81,47.71,36.64,33.79,197,36.4,20.05,32.25,24.29,183,27.8,19.83,27.07,18.28,228,29.78,22.96,57.48,27.71,50.38,63.99,265,52.57,33.3,32.72,26.32,225,24.45,27.23,27.82,20.18,American instruments30cm/150mm digital caliper,,,,
UCLA,15430,Odocoileus hemionus,Right,196.3,48.13,40.13,41.61,54.87,39.6,36.12,217.5,38.42,21.67,34.09,25.27,,,,,,245,32.25,25.97,57.9,27.34,53.73,64.43,294,57.19,35.24,35.6,26.99,245.5,21.89,24.45,26.28,21.8,American instruments30cm/150mm digital caliper,,,,
UCLA,14709,Odocoileus hemionus,Right,189,38.54,28.4,46.77,46.73,39.15,36.01,213,38.9,21.8,35.05,23.63,204,29.62,21.01,30.6,20.64,238,31.52,24.23,55.75,26.26,51.89,67.08,281.5,54.39,35.2,34.47,27.94,241,25.33,29.3,32.5,22.71,American instruments30cm/150mm digital caliper,,,,
UCLA,18636,Mazama,Right,122.22,22.31,17.23,26.29,27.88,23,21.02,123.7,22.06,12.86,19.91,16.04,112.25,16.93,12.13,17.93,11.13,161,19.77,16.55,34.61,17.68,31.91,39.52,187,38.85,25.32,23.37,18.04,138.97,17.18,17.23,20.38,12.87,American instruments30cm/150mm digital caliper,,,,
UCLA,13846,Odocoileus hemionus,Left,184,35.64,29.67,45.89,46.13,35.6,33.71,199,35.24,19.73,31.49,21.16,193,27.02,20.1,27.85,18.55,230,30.19,24.16,54.98,25.16,50.08,60.76,268,51,34,31.81,25.72,230,25.72,26.64,29.03,20.97,American instruments30cm/150mm digital caliper,,,,
UCLA,14702,Antilocapra americana,Mixed,180,43.53,31.99,53.73,54.84,40.22,33.22,209,38.54,20.84,34.41,25.98,226,30.48,21.87,29.54,21.61,232,30.59,25.32,58.51,28.45,48.5,60.68,265,51.39,35.1,32.62,26.91,234.5,26.59,29.25,29.34,22.07,American instruments30cm/150mm digital caliper,,,,
UCLA,13313,Cervus elaphus nannodes,Left,265.1,63,53,85,87,70,64,305.32,72.46,36.5,60.42,43.51,276.3,51.24,34.05,52.74,35.4,341.41,55.74,43.27,105.11,44.47,85.26,105.69,384.26,91.71,63.29,59.19,45.31,312.04,44.08,46.31,54.01,35.42,American instruments30cm/150mm digital caliper,,,,
UCLA,13320,Cervus elaphus nannodes,right,261,57.7,51.15,82,84,67,63,300,67.66,34.09,59.63,41.44,268,48.65,33.87,47.8,34.85,333.74,41.94,42.59,99.89,43.32,82.01,107.66,378.16,90.22,56.9,56.53,44.27,307.4,42.02,45.51,49.3,35.23,American instruments30cm/150mm digital caliper,,,,
UCLA,13319,Cervus elaphus nannodes,mixed,255.08,61,45.07,78,79,61.57,59.57,291.6,63.14,33.99,51.38,40.29,,,,,,332.13,43.68,41.46,95.44,41.92,77.71,101.64,368.6,85.47,50.4,53.49,41.8,302.05,38.84,42.55,47.45,32.75,American instruments30cm/150mm digital caliper,,,,
UCLA,13765,Sus domesticus,Right,212.04,45.55,40.31,71.07,86.65,52.85,56.27,189.69,46.14,33.24,51.62,37.89,96.78,43.04,26.67,49.28,21.83,262.87,40.06,35.76,77.54,53.49,63.32,74.75,243.77,72.34,52.41,45.02,40.04,103.74,40.64,31.21,49.09,22.29,"Mitutyo ""giant calipers"" 600mm",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
